decimalLongitude,decimalLatitude,status
-88.868542,17.943239,1
-90.793056000000007,17.891667,1
-90.8,17.883333,1
-90.8,18.61,1
-88.233333,20.702778,1
-88.233333,20.702778,1
-88.491667,20.808333,1
-90.313611,19.011111,1
-87.062369,20.864633,1
-87.036772,20.860825,1
-89.033333,20.061111,1
-89.033333,20.061111,1
-88.283333,18.5,1
-90.797222,18.612222,1
-90.733333,18.616667,1
-88.305278,18.503611,1
-89.041667,20.075,1
-88.338889,18.505556,1
-88.391944,18.676944,1
-88.338889,18.505556,1
-90.797222,18.612222,1
-89.358333,20.258333,1
-91.0025,17.761389,1
-89,16.745892,1
-88.955,17.0389,1
-91.5354842,17.8076577,1
-89.893742,16.918181,1
-89.675556,16.661389,1
-88.802542,17.232253,1
-88.9879,16.9703,1
-88.983303,16.966425,1
-88.953269,17.034506,1
